Country-Region,All,Date
Korea,58,2009
Japan,40,2016
Turkey,40,2016
Mexico,36,2016
Canada,30,2010
Hungary,30,2016
Norway,29,2010
Estonia,29,2016
Austria,29,2009
Netherlands,28,2016
Germany,27,2016
Belgium,27,2016
Poland,26,2016
Portugal,25,2016
Australia,25,2016
Slovenia,25,2016
Denmark,23,2016
New Zealand,23,2016
Ireland,23,2016
France,23,2010
United Kingdom,22,2016
Italy,22,2008
Spain,21,2010
United States,21,2010
Finland,21,2010
Sweden,18,2016
China,47,2016
India,32,2016
South Africa,36,2016
