QKEY,KP_W32,Device_Type_W32,LANGUAGE_W32,FORM_W32,SATLIFEA_W32,SATLIFEB_W32,SATLIFEC_W32,SATLIFED_W32,SATLIFEE_W32,SOCASSIGN_W32,SOCTRUST_W32,SOCTRUST2_W32,SOCTRUST3_W32,SOCTRUST4_W32,SOCTRUST5_W32,COMMYRS_W32,COMATTACH_W32,FEELA_W32,FEELB_W32,FEELC_W32,FEELD_W32,INC_W32,INCFUTURE_W32,COMMIMPA_W32,COMMIMPB_W32,COMMIMPC_W32,COMMIMPD_W32,COMMIMPE_W32,COMMIMPF_W32,COMMIMPG_W32,COMMIMPH_W32,FAMNEAR_W32,SUCCESSIMPA_W32,SUCCESSIMPB_W32,SUCCESSIMPC_W32,SUCCESSIMPD_W32,FEDSHAREA_W32,FEDSHAREB_W32,FEDSHAREC_W32,LOCALPROBA_W32,LOCALPROBB_W32,LOCALPROBC_W32,LOCALPROBD_W32,LOCALPROBE_W32,LOCALPROBF_W32,LOCALPROBG_W32,LOCALPROBH_W32,LOCALPROBI_W32,LOCALPROBJ_W32,LOCALPROBK_W32,LOCALPROBL_F1_W32,LOCALPROBM_F2_W32,JOBSFUTURE_W32,HARASS1A_W32,HARASS1B_W32,HARASS1C_W32,HARASS1D_W32,HARASS2F1_W32,HARASS3F2_W32,HARASS4_W32,HARASS5_W32,GROWUPNEAR_W32,LIFELOC_W32,REASSTAY_m1_W32,REASSTAY_m2_W32,REASSTAY_m3_W32,REASBACK_m1_W32,REASBACK_m2_W32,REASBACK_m3_W32,REASMOVE_m1_W32,REASMOVE_m2_W32,REASMOVE_m3_W32,VALUEURBAN_W32,VALUESUBURB_W32,VALUERURAL_W32,NEIGHKNOW_W32,NEIGHINTERA_W32,NEIGHINTERB_W32,NEIGHINTERC_W32,NEIGHINTERD_W32,NEIGHKEYS_W32,NEIGHKIDS_W32,NEIGHSAMEA_W32,NEIGHSAMEB_W32,NEIGHSAMEC_W32,IMMCOMM_W32,IMMIMPACT_W32,GROWUPUSR_W32,COMTYPE2_W32,CITYSIZE_W32,SUBURBNEAR_W32,COMTYPE2_INS_W32,VIEWCOMM_W32,PROBSELF_W32,PROBURBAN_W32,PROBSUBURB_W32,PROBRURAL_W32,WANTMOVE_W32,WILLMOVE_W32,MOVEURBAN_W32,MOVESUBURB_W32,MOVERURAL_W32,THERMTRUMP_W32,THERMOBAMA_W32,THERMPENCE_W32,ETHNCMAJ_W32,IMMCULT2_W32,MARRFAM2_W32,ECONFAIR2_W32,WOMENOPPS_W32,GOVT_ROLE_W32,WHADVANT_W32,GAYMARR2_W32,ABORTION_W32,ABORTIONRESTR_W32,ABORTIONALLOW_W32,CLASS_W32,MISINFG_W32,MISINFT_W32,F_CREGION_FINAL,F_AGECAT_FINAL,F_SEX_FINAL,F_EDUCCAT_FINAL,F_EDUCCAT2_FINAL,F_HISP_RECRUITMENT,F_RACECMB_RECRUITMENT,F_RACETHN_RECRUITMENT,F_CITIZEN_RECODE_FINAL,F_MARITAL_FINAL,F_RELIG_FINAL,F_BORN_FINAL,F_ATTEND_FINAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME_FINAL,F_INCOME_RECODE_FINAL,F_REG_FINAL,F_IDEO_FINAL,F_INTUSER_FINAL,F_VOLSUM_FINAL,DIVISION_BY_MSA,WEIGHT_W32,WEIGHT_W32_ATP
100197,0,2,9,1,2,2,2, ,2,2, ,1, , , ,4,2,3,1,1,3,1, ,2,1,2,3,2,2,2,3,1,2,1,1,1,2,2,2,3,3,3,3,3,2,3,2,2,3,3,2, ,3,1,1,1,1,3, ,2, ,2, , , , , , , , , , ,2,3,3,3,2,1,6,5,1,1,2,3,4,3,3,1,2, ,1,2,99,2,2, ,3,2,3, , , ,0,90,30,1,2,2,1,2,1,1,3,2, ,1,4,1, ,2,4,2,2,3,2,1,1,1,3,2,2,1,2, ,2,3,3,1,3,1,1,11,0.3824161195,0.3486166665
100260,0,2,9,1,1,2,1,1,2,4, , , ,2, ,5,3,3,1,1,3,1, ,2,3,3,2,1,2,2,1,3,3,1,1,1,1,2,2,3,2,3,2,3,2,3,1,1,1,1,1, ,3,2,2,3,2,2, ,1,1,1,1,9, , , , , , , , ,3,2,2,3,3,6,6,6,1,8,2,2,4,2,3,1,2, ,1,2,3,3,2, ,2,3,3, , , ,100,0,100,2,1,1,2,1,2,3,3,1,1, ,3,2, ,4,4,1,1,5,2,1,1,1,6,12, ,5,1, ,1,6,2,1,1,1,2,17,0.428201719,0.3062899575
100314,0,1,9,1,2,3,2,1,2,1,2, , , , ,4,3,2,2,2,3,1, ,3,2,3,4,2,3,3,3,1,3,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, ,3,2,2,2,2,3, ,2, ,2, , , , , , , , , , ,2,2,1,3,5,5,6,6,1,8,1,3,4,3,3,2,3, , ,3,2,3,3,3, ,2,3, , , ,80,20,80,2,1,2,2,1,2,3,4,2, ,2,3,1, ,2,4,1,2,3,2,1,1,1,2,1,2,4,1, ,1,4,2,1,2,1,1,6,0.1123388951,0.1882214451
100363,0,1,9,2,2,2,2,3,2,4, , , ,2, ,3,2,4,1,1,2,2,2,3,1,2,3,1,2,2,2,1,2,1,1,1,1,2,2,2,2,3,3,3,2,2,2,2,3,3, ,3,1,2,3,2,2, ,2,2, ,1,2, , , ,1, , , , , ,2,1,2,3,4,6,5,5,1,1,2,1,3,3,1,2,2, ,3,2,2,2,2, ,3,2,3, , , ,70,80,70,3,1,1,1,1,2,3,1,1,1, ,3, ,1,1,2,2,1,6,2,1,1,1,1,2,2,4,2, ,2,8,1,1,3,1,2,3,0.9430964451,1.4053455921
100446,0,3,9,1,3,2,2,2,2,4, , , ,2, ,3,2,2,2,2,2,2,2,2,1,2,2,1,1,2,3,1,1,1,1,1,2,1,2,2,2,3,3,2,2,2,1,2,2,2,2, ,1,2,1,1,1,3, ,1,2,1,2, , , ,1, , , , , ,2,2,3,3,2,5,2,6,1,1,4,2,2,2,1,2,2, ,3,2,2,2,3, ,3,2,2, , , ,0,98,1,3,2,2,1,2,1,2,1,1,2, ,2,2, ,1,3,2,1,6,2,3,4,1,6,11,2,6,2, ,2,7,1,1,4,1,1,1,0.1330043886,0.1079061334
100514,0,3,9,2,1,1,1, ,1,5, , , , ,1,1,1,4,1,1,4,1, ,2,1,2,4,2,1,1,4,1,2,2,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3, ,2,1,99,99,99,99, ,2,2, ,2, , , , , , , , , , ,1,1,1,1,3,6,6,5,1,8,2,2,99,99, ,2,2, ,3,2,99,99,3, ,2,2,4, , , ,100,25,100,3,1,2,2,1,2,99,99,2, ,1,2, ,1,3,4,1,2,3,2,1,1,1,1,1,1,99,3,1,1,8,1,3,2,1,2,13,0.7515205754,0.9180046462
100588,0,1,9,1,1,1,3,2,2,5, , , , ,2,3,3,1,1,1,2,2,2,1,1,2,2,1,1,1,3,1,2,1,1,1,1,2,2,1,1,3,2,2,2,1,1,1,1,3,2, ,2,1,1,1,1,3, ,1,3,2, , , , , , , , , , ,2,1,1,3,3,6,6,6,2,1,4,2,4,1,1,2,2, ,1,2,2,3,2, ,2,1,1, ,2, ,0,100,0,1,2,2,1,2,1,1,1,1,1, ,4,1, ,4,2,2,2,4,1,5,3,1,1,2,2,3,2, ,2,6,2,1,4,1,2,17,1.5695385059,0.992117284
100598,0,3,9,2,1,1,3,2,2,5, , , , ,1,5,2,3,2,1,2,2,2,2,1,3,2,1,3,2,2,4,1,1,1,1,3,3,2,2,2,3,2,2,2,2,2,3,2,3, ,1,3,3,3,2,2, ,3,2, ,2, , , , , , , , , , ,2,1,1,2,4,5,4,6,1,8,2,2,2,2,3,2,2, ,2,2,2,2,2, ,2,3,1, , , ,10,50,50,3,1,1,1,2,1,3,4,1,2, ,2, ,1,4,3,2,1,6,2,1,1,1,1,1,2,5,1, ,1,8,1,1,3,1,1,17,0.2476605803,0.2308199082
100604,0,1,9,1,2,2,2,3,2,3, , ,3, , ,3,2,2,2,1,2,2,1,2,1,3,2,2,1,2,2,1,1,1,1,1,1,2,3,2,3,3,2,3,3,3,3,3,3,2,3, ,2,1,2,2,3,3, ,2, ,1,1,5,8,11, , , , , , ,2,2,2,3,3,4,4,4,1,1,2,2,3,3,3,1,2, ,1,2,3,2,1, ,3,2,3, , , ,30,35,50,3,2,1,2,1,1,3,4,2, ,1,3,1, ,1,2,1,1,6,2,1,1,1,1,2,2,2,1, ,1,9,1,1,2,1,1,1,0.1633088132,0.1319011762
100637,0,3,9,1,1,3,2,2,2,1,2, , , , ,3,2,2,1,1,3,1, ,4,1,3,1,3,3,3,1,1,2,1,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,2,2, ,3,3,1,1,1,3, ,1,3,1,2, , , ,98, , , , , ,4,2,2,3,5,6,6,6,1,1,1,2,2,2,3,2,3, , ,3,3,2,4,1, ,2,3, , , ,77,17,85,2,1,1,1,2,1,3,4,2, ,2,3,2, ,3,3,2,2,4,2,1,1,1,1,1,1,3,3,1,1,4,2,1,3,1,2,7,0.8538231662,1.0107950136
